貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
2017-06-13 08:58:39+00:00,342571109112167_1359373760765225,"群加今年也參加了
2017 International CES Asia 亞洲消費性電子展

今年攤位比去年整整大了一倍
眾多新品等著要和大家分享
此次展覽時間為6/7~6/9
在群加的攤位上，每天都能看到滿滿的人潮

本次展覽新發表『五金工具』
分別有 手動工具 / 電動工具 / 工具箱 / 測試電錶 還有工具配件等等

用對輔助工具 能減少不必要的勞力支出
當然商品選得巧 也要選得精 
群加新推出的工具用品 品項齊全 樣式齊全 怎麼能錯過!

若想想知更多新品資訊 可至官網工具查詢
↓↓↓
http://www.powersync.com.tw/products_category_90.htm",,12,0
2017-01-09 03:34:05+00:00,342571109112167_1205104836192119,"★★ 又到了新的一年  每逢新年 都要除舊佈新 ★★
記得也要淘汰老舊電器用品  才能避免用電及用火的危險
http://www.powersync.com.tw/news_detail_24.htm

以下為延長線使用注意事項↓
（一）插頭及插座鬆動極易因接觸不良而發熱，應經常檢視，避免鬆動而產生危險，並注意插座、插頭是否有過電流所造成焦黑之現象。
（二）應經常查看插頭是否有綠鏽現象，如有此情形，表示插頭附近溼度高，可能讓兩極通電造成電線短路。
（三）應經常檢視配線並清理插頭及插座間之塵埃，避免結合水份產生積污導電現象，致插頭分開之兩極產生電流，發生火花導致火災危險。
（四）拔下延長線插頭時，應手握插頭取下，如僅拉電線易造成電線內部銅線斷裂，致電流流過時造成負荷增加，導致高熱產生危險。
（五）勿將電線及延長線置於地毯下方或壓在重物下面，致電線內部銅線斷裂產生半斷線，造成電流通過過度負載而產生高熱危險。
（六）不可綑綁使用延長線及電線，以免通電時導致溫度昇高熔解外覆塑膠，造成電線短路起火。
（七）延長線及電線周遭應避免火源，以免外覆塑膠熔解，致使用時造成短路。
（八）使用老舊、破損之延長線，容易造成短路、漏電或觸電等危險情形，應立即更新。
（九）使用中之延長線如有異常發燙或異味產生，可能為過載現象，應立即停止使用該電器。
（十）不可用釘子、騎馬釘或訂書針將延長線或電線固定。
（十一）延長線應使用具保險絲安全裝置或過負荷保護裝置之產品。

★當發生危險症狀時，請立即停止使用延長線★
延長線乃屬消耗性產品，為防止意外事故發生，請更換老舊的延長線。
(理想的淘汰更換期間為2~3年)",Powersync 群加國際 added 2 new photos.,7,0
2016-11-28 03:20:30+00:00,342571109112167_1162466850455918,"Monday Blue out! 許自己一個可愛表情，讓每週都是好心情。
Powersync旋轉新設計小物，辦公也能很文青~",Powersync 群加國際 shared PChome 24h購物's post.,3,0
2016-09-21 07:28:12+00:00,342571109112167_1098010326901571,"【旋轉新潮設計  讓線不再揪結】 

機身搭配2Port USB 手機/相機 充電超方便?

5孔旋轉插座+2埠USB延長線/1.8m  原價:$1190 

限時直降$390，心動不如馬上行動!

GO! 點我購買去↓
http://www.pcstore.com.tw/powersync/M26015675.htm",Powersync 群加國際 added 3 new photos.,10,0
2016-09-10 05:39:45+00:00,342571109112167_1089236437778960,"花小錢大享受★防雷擊延長線限量$299登場

居家必備 延長線+網路線+USB兩用線 多種商品一次滿足!

點我購買去↓↓↓
http://www.pcstore.com.tw/powersync/S0174N2.htm",,9,0
2016-08-10 01:11:10+00:00,342571109112167_1064180410284563,"●夏日戶外旅行計劃●

我們 野餐 露營 去吧!

記得帶著戶外小幫手 

【2P工業用1擴3插帶燈延長線】

擁有 ●10M長度 ●3個插座

還有★夜燈貼心設計

不必再摸黑找插座!

http://www.powersync.com.tw/products_list_60_88.htm",Powersync 群加國際 added 2 new photos.,13,1
2016-07-28 05:42:16+00:00,342571109112167_1055630801139524,"Oops!!!只要滑滑手機,就能輕鬆購買Powersync商品~

只要您是Android用戶,就能去Google Play搜尋Powersync,
 
下載↓【群加包爾星克旗艦店App】
https://play.google.com/store/apps/details?id=tw.com.pcstore.vaedhcf

就能得到最新Powersync消息

更多新品!!  更多優惠!!!

就在PowerSync App Store!",,13,1
2016-06-17 04:03:42+00:00,342571109112167_1031785353524069,"不管是在住家還是在辦公室,
每次手機沒電想充電,
卻總是找不到USB轉接頭插....囧""

來來來!別再找轉接頭了!
群加直接把AC跟USB插孔整合!

擁有 
2個USB+4個獨立開關3Pin孔+4個2Pin孔

真是CP值爆表的延長線!

購物去↓
http://24h.pchome.com.tw/prod/DSAO16-A9007838V",,22,3
2016-06-03 07:26:16+00:00,342571109112167_1023901307645807,USB Type-C 並不等於 USB 3.1 ?!,,10,0
2016-05-20 07:30:50+00:00,342571109112167_1015946485107956,"在上週5/11-5/13，上海舉辦第2屆的「2016 International CES Asia 亞洲消費性電子展」(簡稱:CES Asia)。
▲(圖1-會場入口) (圖2-場內人山人海)

今年的規模還比去年大，有23國的廠商參與，且也有不少來自台灣的廠商，群加也在其中，我們把多達200件商品帶進了會場。
▲(圖3~6-群加攤位)

還記得群加在去年的Computex發表抗搖擺功能嗎?
 (台灣已開賣囉~)

今年群加也有新消息帶給各位!
▲(圖7-摔不爛插座 台灣上市日期?!)

想知更多詳細消息,請期待跟關注我們!",Powersync 群加國際 added 7 new photos.,10,0
